destination,rating,text,month,translation_status,failure_reason,sentiment_score,aspect
Penang Hill,1,"This is honestly the only negative experience we have had in Malaysia. Everything else about our trip has been absolutely fantastic, but Penang Hill was a complete disappointment.

The organization is terrible. The price is ridiculously high for what it actually offers, and there is very little to see or do that justifies the cost.

The waiting times are endless, often in areas with no air conditioning, where you are basically left melting in the heat. Your ticket gets checked over and over again for absolutely no apparent reason, making the whole process even slower and more frustrating.

The return process is even more absurd. You have to request another ticket by handing over the ticket you already have, only to receive a small piece of paper that gets thrown away immediately. Then, right afterwards, they ask you for the original ticket again. Completely pointless and unnecessarily complicated.

The funicular is another nightmare. They pack people inside like sardines. There is barely enough room to breathe, let alone enough space to hold onto something safely. It is overcrowded and poorly managed.

The staff were also slow and not particularly friendly, which certainly did not help.

Overall, this was an entire day wasted for absolutely nothing. We have had an amazing time everywhere else in Malaysia, so this experience was particularly disappointing. Save your money and your time. Penang Hill is absolutely not worth it.",1/8/2026,not_applicable,,-0.9488,crowding
Penang Hill,1,"This is honestly the only negative experience we have had in Malaysia. Everything else about our trip has been absolutely fantastic, but Penang Hill was a complete disappointment.

The organization is terrible. The price is ridiculously high for what it actually offers, and there is very little to see or do that justifies the cost.

The waiting times are endless, often in areas with no air conditioning, where you are basically left melting in the heat. Your ticket gets checked over and over again for absolutely no apparent reason, making the whole process even slower and more frustrating.

The return process is even more absurd. You have to request another ticket by handing over the ticket you already have, only to receive a small piece of paper that gets thrown away immediately. Then, right afterwards, they ask you for the original ticket again. Completely pointless and unnecessarily complicated.

The funicular is another nightmare. They pack people inside like sardines. There is barely enough room to breathe, let alone enough space to hold onto something safely. It is overcrowded and poorly managed.

The staff were also slow and not particularly friendly, which certainly did not help.

Overall, this was an entire day wasted for absolutely nothing. We have had an amazing time everywhere else in Malaysia, so this experience was particularly disappointing. Save your money and your time. Penang Hill is absolutely not worth it.",1/8/2026,not_applicable,,-0.9488,price
Penang Hill,5,"Must See in the Island. If you are able to hike Up, but taking the train Up will also give you the amazing Views. Tipp: Try to come outside the weekends and relatively early!",1/8/2026,not_applicable,,0.7574,general
Penang Hill,5,I'd recommend going as early as possible before it gets busy. The funicular ride to the top was easy and amaizing to see the climb up the hill. Worth the money. Spectacular views from up there. We were just in time before the fog took over and you could not see anything from that point on. (check the weather if you're planning on going) Spend a good 1 hour or more up there.,1/8/2026,not_applicable,,0.875,crowding
Penang Hill,5,I went up before 9am and there’s a cheaper admission fee to take the furnicular train up Penang Hill. There’s also a priority seating available if you have a young children with you. The view is great as well. Suitable to bring young children here as well.,1/8/2026,not_applicable,,0.8074,price
Penang Hill,1,mainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstreTajikmainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstreTajikmainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstremainstre@@,1/8/2026,translated_argos,,0.0,general
Penang Hill,4,"We suggest coming early at 6:30 am to watch the sunrise, then at 7:30 continuing to walk to the circular viewing platform at the back and looping back around — that's enough exercise for one day.",1/8/2026,translated_argos,,0.0,general
Penang Hill,1,"Destroys the purpose of walking in nature.

Penang Hill is one of Malaysia’s most beautiful and historically significant attractions. The scenery is breathtaking, the cool climate is refreshing, and the lush rainforest creates what should be a peaceful escape from the city.

Unfortunately, my experience was overshadowed by one major issue that the Penang State Government and Penang Hill Corporation urgently need to address.

The 2 km walk towards Heritage Cafe has become dominated by golf buggies. Instead of a relaxing nature walk, pedestrians are constantly forced to move aside for buggies travelling at unsafe speeds. Families with young children, elderly visitors and tourists are all sharing the same narrow roads with motorised vehicles that appear to have little speed control or enforcement.

It creates a dangerous environment where people cannot simply enjoy the surroundings without constantly watching for vehicles approaching from behind.

This is a serious safety failure.

One distracted child, one elderly person with slower mobility, or one buggy driver making a mistake could easily result in a severe accident. The current system appears to prioritise transporting more passengers and generating revenue rather than protecting the thousands of visitors walking through the area.

There should be strict speed limits, designated pedestrian-only sections, clearly separated buggy routes and proper enforcement. Instead, the atmosphere feels chaotic and stressful rather than peaceful.

This is not how a protected natural attraction should be managed.

The irony is that visitors come to Penang Hill to experience nature, fresh air and tranquillity. Instead, the constant movement of speeding buggies destroys that experience entirely.

The second disappointment was the Penang Hill Funicular Railway.

As the only transport system to the summit, it should be one of the highlights of the visit. Instead, it felt poorly maintained and badly managed. I paid extra for the Express Premium Pass expecting a comfortable experience, but ended up squeezed into an overcrowded train with very little personal space. The air conditioning was either not working properly or was completely inadequate for the number of passengers, making the journey hot, stuffy and uncomfortable.

The overcrowding also prevented many passengers from enjoying the panoramic views, which is one of the main reasons people take the train in the first place. The interior of the train also appeared unclean and lacking proper maintenance.

For an attraction of this international standard, charging premium prices while delivering such an overcrowded and uncomfortable experience is unacceptable.

Penang Hill deserves to be one of the world’s great nature destinations. The scenery certainly is. However, poor safety management, unregulated buggy operations and overcrowded train services significantly diminish what should be an unforgettable experience.

I sincerely hope the Penang State Government and Penang Hill Corporation take these concerns seriously. Do not wait until a serious injury or tragedy occurs before taking action. Visitors deserve a safe, peaceful and well-managed environment that reflects the natural beauty and heritage of Penang Hill.",1/8/2026,not_applicable,,0.9623,crowding
Penang Hill,1,"Destroys the purpose of walking in nature.

Penang Hill is one of Malaysia’s most beautiful and historically significant attractions. The scenery is breathtaking, the cool climate is refreshing, and the lush rainforest creates what should be a peaceful escape from the city.

Unfortunately, my experience was overshadowed by one major issue that the Penang State Government and Penang Hill Corporation urgently need to address.

The 2 km walk towards Heritage Cafe has become dominated by golf buggies. Instead of a relaxing nature walk, pedestrians are constantly forced to move aside for buggies travelling at unsafe speeds. Families with young children, elderly visitors and tourists are all sharing the same narrow roads with motorised vehicles that appear to have little speed control or enforcement.

It creates a dangerous environment where people cannot simply enjoy the surroundings without constantly watching for vehicles approaching from behind.

This is a serious safety failure.

One distracted child, one elderly person with slower mobility, or one buggy driver making a mistake could easily result in a severe accident. The current system appears to prioritise transporting more passengers and generating revenue rather than protecting the thousands of visitors walking through the area.

There should be strict speed limits, designated pedestrian-only sections, clearly separated buggy routes and proper enforcement. Instead, the atmosphere feels chaotic and stressful rather than peaceful.

This is not how a protected natural attraction should be managed.

The irony is that visitors come to Penang Hill to experience nature, fresh air and tranquillity. Instead, the constant movement of speeding buggies destroys that experience entirely.

The second disappointment was the Penang Hill Funicular Railway.

As the only transport system to the summit, it should be one of the highlights of the visit. Instead, it felt poorly maintained and badly managed. I paid extra for the Express Premium Pass expecting a comfortable experience, but ended up squeezed into an overcrowded train with very little personal space. The air conditioning was either not working properly or was completely inadequate for the number of passengers, making the journey hot, stuffy and uncomfortable.

The overcrowding also prevented many passengers from enjoying the panoramic views, which is one of the main reasons people take the train in the first place. The interior of the train also appeared unclean and lacking proper maintenance.

For an attraction of this international standard, charging premium prices while delivering such an overcrowded and uncomfortable experience is unacceptable.

Penang Hill deserves to be one of the world’s great nature destinations. The scenery certainly is. However, poor safety management, unregulated buggy operations and overcrowded train services significantly diminish what should be an unforgettable experience.

I sincerely hope the Penang State Government and Penang Hill Corporation take these concerns seriously. Do not wait until a serious injury or tragedy occurs before taking action. Visitors deserve a safe, peaceful and well-managed environment that reflects the natural beauty and heritage of Penang Hill.",1/8/2026,not_applicable,,0.9623,price
Penang Hill,1,"Destroys the purpose of walking in nature.

Penang Hill is one of Malaysia’s most beautiful and historically significant attractions. The scenery is breathtaking, the cool climate is refreshing, and the lush rainforest creates what should be a peaceful escape from the city.

Unfortunately, my experience was overshadowed by one major issue that the Penang State Government and Penang Hill Corporation urgently need to address.

The 2 km walk towards Heritage Cafe has become dominated by golf buggies. Instead of a relaxing nature walk, pedestrians are constantly forced to move aside for buggies travelling at unsafe speeds. Families with young children, elderly visitors and tourists are all sharing the same narrow roads with motorised vehicles that appear to have little speed control or enforcement.

It creates a dangerous environment where people cannot simply enjoy the surroundings without constantly watching for vehicles approaching from behind.

This is a serious safety failure.

One distracted child, one elderly person with slower mobility, or one buggy driver making a mistake could easily result in a severe accident. The current system appears to prioritise transporting more passengers and generating revenue rather than protecting the thousands of visitors walking through the area.

There should be strict speed limits, designated pedestrian-only sections, clearly separated buggy routes and proper enforcement. Instead, the atmosphere feels chaotic and stressful rather than peaceful.

This is not how a protected natural attraction should be managed.

The irony is that visitors come to Penang Hill to experience nature, fresh air and tranquillity. Instead, the constant movement of speeding buggies destroys that experience entirely.

The second disappointment was the Penang Hill Funicular Railway.

As the only transport system to the summit, it should be one of the highlights of the visit. Instead, it felt poorly maintained and badly managed. I paid extra for the Express Premium Pass expecting a comfortable experience, but ended up squeezed into an overcrowded train with very little personal space. The air conditioning was either not working properly or was completely inadequate for the number of passengers, making the journey hot, stuffy and uncomfortable.

The overcrowding also prevented many passengers from enjoying the panoramic views, which is one of the main reasons people take the train in the first place. The interior of the train also appeared unclean and lacking proper maintenance.

For an attraction of this international standard, charging premium prices while delivering such an overcrowded and uncomfortable experience is unacceptable.

Penang Hill deserves to be one of the world’s great nature destinations. The scenery certainly is. However, poor safety management, unregulated buggy operations and overcrowded train services significantly diminish what should be an unforgettable experience.

I sincerely hope the Penang State Government and Penang Hill Corporation take these concerns seriously. Do not wait until a serious injury or tragedy occurs before taking action. Visitors deserve a safe, peaceful and well-managed environment that reflects the natural beauty and heritage of Penang Hill.",1/8/2026,not_applicable,,0.9623,cleanliness
Penang Hill,5,Well worth a visit but I strongly recommend getting the express ticket as the waiting time can be substantial otherwise (20+ minutes to go up).,1/8/2026,not_applicable,,0.8442,general
Penang Hill,4,"I visited on a rainy day, but there were still many tourists sightseeing. It took some time to queue for the cable car up the mountain, but everything was well-organised and went smoothly.
The scenery at the peak was beautiful, and the service facilities were adequate. Despite the rain and mist, I could still enjoy many natural views.
The reason I didn't give it a five-star rating is that compared to other mountain scenic spots, there are no particularly magnificent or unique landscapes here. It can only be considered a general leisure travel spot for locals.",1/8/2026,not_applicable,,0.8244,crowding
Penang Hill,2,"We were dissapointed to see an area on the hill where they sell photos with ""exotic pets"" like a capybara. This has been shown  to be distressing for animals. Furthermore these are not pets! It ruined our experience seeing people queue for this.",1/8/2026,not_applicable,,0.3911,crowding
Penang Hill,5,"My first visit to Penang Hill and it was a very pleasant one. We took the tram up the hill and it was a short ride. I heard that if you choose to hike up, it could take 1 hour to 1.5 hours depending on your fitness level. Once we are up the hill, the weather was very pleasant and cool. We were told that the weather is around 5degree less than the Penang island. We walked around and took the buggy ride too. The buggy drivers were all very nice and polite. There’s also a small halal food court and several stalls selling souvenirs. A very pleasant visit.",1/8/2026,not_applicable,,0.9554,general
Penang Hill,5,This is a must-go for any traveler who goes to Penang. The views are amazing and the nature is soothing. Get the tram and experience the sights at the top! Or you can hike up but you'll definitely be hot and sweaty with the humid weather (nothing unexpected from a hike). Definitely recommended.,1/8/2026,not_applicable,,0.9192,general
Penang Hill,5,"Fantastic Family Day Out at Penang Hill! 🌿🚂
We had an amazing family trip to Penang Hill! It’s a wonderful escape into nature with cool breezes, rich history, and plenty of fun activities for both adults and kids.
🚂 The Funicular Train Ride
We took the funicular train up and down the hill (RM40 per adult). The ride itself was smooth, fast, and offered beautiful scenic views of the lush greenery as we climbed up to the top.
🛺 Insightful Jeep Tour
Once at the top, we hired a jeep ride for the whole family for RM40, and it was worth every ringgit! Our driver was super friendly and doubled as an informative tour guide. He shared fascinating historical insights about how the British colonized Penang and pointed out the various grand heritage bungalows, sharing interesting stories about which famous billionaires owned them. It made exploring the area so much more meaningful than just walking around blindly!
📸 Highlights & Kid-Friendly Fun
Animal Encounters: The kids were absolutely thrilled to meet and interact up close with a friendly capybara—definitely a highlight photo op!
Charming Vintage Spot: We loved exploring the scenic pathways and stumbling across vintage touches, like the classic red British pillar post box nestled among the lush greenery.
Overall Verdict
Whether you are here for the cool mountain air, the rich history, or family-friendly activities, Penang Hill is a must-visit in Penang. Highly recommended for families looking for a delightful mix of nature, history, and fun!",1/8/2026,not_applicable,,0.9982,general
Penang Hill,5,Nice like,1/8/2026,translated_argos,,0.6486,general
Penang Hill,1,Place was very crowded and needs to wait 1-2 hours just to board the train. Express pass all sold out.,1/8/2026,not_applicable,,0.0,crowding
Penang Hill,5,Come to see the whole city.,1/8/2026,translated_argos,,0.0,general
Penang Hill,5,"RM40 for foreigners. It’s better to get a front seat. If you can’t, recording from the top is still good. After getting off the funicular, go upstairs to the right and record from the top. There are regular and priority/VIP lanes.

At the top, you can ride a buggy (RM40 per buggy) because the area is big. You can stop at Monkey Cup or Habitat. But for the return trip, you need to pay another RM15 per buggy.",1/8/2026,not_applicable,,0.4404,general
Penang Hill,3,"She was beautiful, and a quiet winner.",1/8/2026,translated_argos,,0.8271,general
Penang Hill,5,The first time to Wingang Hill... The beautiful view-,1/8/2026,translated_argos,,0.5994,general
Penang Hill,5,"We visited Penang Hill to unwind and escape the stress, and it was absolutely worth it. The views are breathtaking, the cool breeze is so refreshing, and the peaceful atmosphere makes it the perfect place to relax and enjoy nature. A great spot to slow down, recharge, and simply take in the beautiful surroundings. Highly recommended!",1/7/2026,not_applicable,,0.9814,general
Penang Hill,5,It's cool.,1/7/2026,translated_argos,,0.3182,general
Penang Hill,1,I give zero star for the train service. Why do we need to wait for 2-3 hours ? Why can’t they operate more frequently instead of letting tourist to wait for 2-3 hours in order to get to the top? Moreover today is weekday and there is not a public holiday.,1/7/2026,not_applicable,,-0.2066,general
Penang Hill,4,Nice experience in Penang. Recommend to come on weekdays or off peak days as it may get quite crowded during public holidays. The tram ride up the hill is spectacular. The view up there is very nice and you could see the entire island. If you're adventurous you could walk up/down the hill via the trail.,1/7/2026,not_applicable,,0.908,crowding
Penang Hill,5,Definitely worth the visit,1/7/2026,not_applicable,,0.5574,general
Penang Hill,5,"First time being here, even occasionally back and forth to penang to medical check up. Great palace to see penang city view from above. Easy to access using train, overall great place to visit.",1/7/2026,not_applicable,,0.9022,general
Penang Hill,5,"INTERVIEW The Habita (2006), 1806",1/7/2026,translated_argos,,0.0,general
Penang Hill,5,"Penang Hill is one of the best attractions in Penang and definitely worth visiting. The funicular train ride is smooth and enjoyable, and the views from the top are absolutely breathtaking. The cool weather, lush greenery, and panoramic city views make it a perfect place to relax and take photos. There are plenty of viewing platforms, cafés, and walking trails to explore. I highly recommend visiting early in the morning or around sunset for the best experience. A must-visit destination for anyone traveling to Penang! 🌿🚠📸",1/7/2026,not_applicable,,0.9873,general
Penang Hill,3,"Nice views. UNESCO site with a lot of biodiversity - but very sad to see local cars parked, not moving and turned on for hours with AC on and windows open. Prices are sometimes a bit abusive, sometimes not. Bittersweet experience.",1/7/2026,not_applicable,,-0.8795,price
Penang Hill,5,"We had a lovely morning on the Hill, with a different view of Penang.

Overall it is a good tourist spot. Food and drinks available at the top and lower part of the hill.

Breathtaking view and cooling weather. It features a historic funicular railway and The Habitat, an eco-tourism park with a canopy walk through a 130-million-year-old rainforest.",1/7/2026,not_applicable,,0.8519,general
Penang Hill,2,"I didn't get there because there were over 70 minutes of column. Plus they play a lot on the ""normal ticket"" or ""fast ticket"" with a surcharge of 100% in sistanza exploit tourists???",1/7/2026,translated_argos,,0.3695,general
Penang Hill,5,"Down at the top of the mountain, there's a lovely orange cat, friendly and loving to rub on the top of the atmosphere, but a lot of people.",1/7/2026,translated_argos,,0.775,general
Penang Hill,5,"A refreshing escape from the city's heat with cool weather and spectacular views of Penang. The funicular train ride is smooth and enjoyable, and there are plenty of attractions, cafés, and walking trails at the top. Visiting early helps avoid long queues.",1/7/2026,not_applicable,,0.872,crowding
Penang Hill,5,"A must-visit destination in Penang! The views from the top are absolutely breathtaking, especially on a clear day. The funicular train ride was smooth and enjoyable, and the cool weather made the visit even more pleasant. Plenty of food options and beautiful spots for photos. Highly recommended!",1/7/2026,not_applicable,,0.9695,general
Penang Hill,2,"The view is pretty good, but not amazing. The wait going up and down was very, very long(almost 2 hrs up and another 2 hrs going down). It was a Saturday, so probably extra busy. That was our mistake. I tried to get express tickets but they were sold out. I didn’t think it was worth it.",1/7/2026,not_applicable,,-0.423,crowding
Penang Hill,5,It’s a very nice to be here,1/7/2026,not_applicable,,0.4754,general
Penang Hill,4,"Tandas need to be cleaned, the smell of urine can be followed from outside",1/7/2026,translated_argos,,0.0,cleanliness
Penang Hill,5,"Flag Hill is one of the most mandatory destinations to visit on Pinang Island. The trip on the funicular train was fun, but the view from the top was beautiful and soothing. The cool air and comfortable atmosphere make this place a suitable place to relax with family or friends.

There's all kinds of ease, a diner and an interesting place to watch. It's also clean and well guarded. It is recommended that you come in the morning or after evening to enjoy a more comfortable and unsettling weather.

Overall, a very satisfying experience and it will come again if it gets a chance.",1/7/2026,translated_argos,,0.9959,cleanliness
Penang Hill,5,Good healing spot for family also. And you must dine in the foodcourt. They have delicious bingsu ice cream with fresh food and various nut. Very satisfying. View is priceless esp at skywalk,1/7/2026,not_applicable,,0.9041,price
Penang Hill,4,"There were fewer people in the morning and more people in the afternoon.
It's a good way to walk. It's just an extra charge.",1/7/2026,translated_argos,,0.4404,general
