destination,rating,rating,text,time
Perhentian Island Resort,3/5,,Nonostante il posto sia un po vecchio e potrebbero migliorare i servizi ci tornerei in quanto questo resort si trova sulla spiaggia più bella dell isola. Davanti ai bungalow c’e una spiaggia bellissima dove potrai fare snorkling con tartarughe squali e razze. I lettini sono di legno quindi consiglio di portarsi un materassino anche gonfiabile da prendere in terra ferma perché nell isola non ne vendono.  Si mangia bene alla carta invece il buffet lascia un po a desiderare. I prezzi del mangiare sono buoni rispetto all Italia. Noi spendavamo a cena circa 10 euro a testa.  La pulizia lascia un po a desiderare ma basta farlo presente e vengono a ri pulire. Il|Personale con noi è stato disponibile. Ho viaggiato con amici e mio figlio di due anni e tornerei la nonostante tutto. La posizione e impagabile.,2026-08-20T23:59:59.999Z
Perhentian Island Resort,1/5,,"I want to be fair. Perhaps this would have been a wonderful experience for a young family, if they are OK with very “rustic” accommodations. We are not that young family. We paid $800 ringgit per night for what we believed would be at least an adequate resort (in Kuala Lumpur, that same $800 would have more than paid for a suite in a 5-star hotel). Our expectations were not super high, since we understood that we were paying for an experience on a private island. Just clean and comfortable. Unfortunately, we got neither. Our room, #208 had a broken front door that only opened 1/3 of the way, scraping across the floor and then stopping. There were deep gouges and white paint all over the floor, which let us know this issue is ongoing. At first glance, the room looked clean (and bedding was fresh), but on further inspection we could see that only surface cleaning has ever been done. The doors were filthy, mold stains on walls, absolute filth in the pipes and shower drain and air conditioning filters. Dirty, streaked mirrors. Also, the king size bed was hard as a rock - extremely uncomfortable with a poor quality mattress. We paid an extra $100 ringgit for an “extra bed” which was just a cot - a plastic mattress. Food at PIR is bad and obscenely expensive. Piles of trash behind convenience stores and coffee shops. And overall, a deeply unpleasant sewage smell in our room and permeating the island. The good: beach is absolutely lovely. Water is crystal clear, sand is white. No trash on the beach (they hide trash behind businesses, but it’s obvious as it stinks and attracts rodents). It was a wonderful experience to swim with colorful tropical fish. That was the one and only thing I appreciated about this overpriced and horrifically maintained island.",2026-08-20T23:59:59.999Z
Perhentian Island Resort,,2.0,"La location è molto bella ma il resort è estremamente trascurato e porco. Lenzuola macchiate, bagno ammuffito con acqua gialla  in uscita dal rubinetto, insetti, polvere sul condizionatore e bagno mai pulito (consegna nuova carta igienica e svuotamento cestino solo per esplicita richiesta) con pochi asciugamani. Sdrai di legno scomodissimi e luoghi comuni non adeguatamente mantenuti e in alcuni casi semi abbandonati. È un peccato perche la giungla e il mare sono estremamente vivaci e pieni di animali ma il resort è sconsigliato. Meglio venire in barca e soggiornare in altro hotel.",2026-08-20T10:23:07.386Z
Perhentian Island Resort,,3.0,"The location is nice, but unfortunately the room was pretty bad and definitely not what we expected. Very basic, dated and extremely overpriced for what you get. Definitely needs some serious improvements.",2026-08-20T10:10:04.740Z
Perhentian Island Resort,,5.0,Tres belle plage ou l on découvre des tortues,2026-08-18T12:27:02.998Z
Perhentian Island Resort,,2.0,"Camere molto piccole ed umide, pulizia e manutenzione approssimative.
Asciugamani col contagocce.
Colazione pessima.
Lettini in spiaggia pochissimi e comunque scomodi (in legno).
Servizio svogliato e poco attento.
Insomma a parte la spiaggia che è bellissima, del resto si salva pochissimo.",2026-08-17T07:17:57.491Z
Perhentian Island Resort,1/5,,"Hotel DA INCUBO.|Il tour operator ce lo aveva definito spartano… è semplicemente un incubo!!!!|Alloggi vecchi, fatiscenti con crepe sui muri, buchi e pavimenti sollevati, sporchi e trascurati.|La doccia senza piatto, quindi si allaga il bagno, getto debolissimo che per sciacquarti ci metti ore. Lavabo dei puffi che se ti va bene e non perde acqua dal sifone, puzza di fogna in maniera esagerata ogni volta che si usa.Insetti ovunque!!! Lenzuola e asciugamani LERCI, frigorifero che perde acqua. Cassaforte rotta, una presa in tutta la stanza compreso il bagno.|L’unica nota positiva è il mare, ma è una magra consolazione!!!!|Peccato!!! Hanno in mano un tesoro e non sanno gestirlo!!!",2026-08-16T23:59:59.999Z
Perhentian Island Resort,3/5,,"Beautiful resort with great potential, but service needs improvement – 7.5/10||We spent a week at this Marriott resort and overall had a very enjoyable stay. The property is beautiful, our accommodation was extremely comfortable, the views were wonderful, and we really appreciated our  villa with a private pool.||Breakfast was definitely one of the highlights — excellent variety and quality, especially the freshly! |A special mention must go to Zafirah, our Villa Host, who was absolutely wonderful: kind, attentive, always available and genuinely interested in making our stay special. We also really appreciated the lovely touches for our wedding anniversary.||That said, for a 5-star Marriott resort at this price level, there are some areas that really need improvement.||The biggest issue for us was the restaurant service. Although the staff were always friendly, service was consistently very slow and dishes for the same table rarely arrived together. On several occasions, one of us had almost finished eating before the other person’s meal arrived.|There were also some surprising operational issues. The beach bar was out of basic items, including water, for several days, which is difficult to understand at a 5-star tropical resort.||The management of sunbeds around the pool also needs attention. Guests reserve them early with towels and belongings and sometimes do not appear until hours later. We were told there is a 15–20 minute policy for unattended sunbeds, but unfortunately we never saw it being enforced.||Finally, the arrival experience could be much more polished. First impressions matter, and the transfer/check-in process did not feel particularly premium or aligned with what we expected from a resort of this category.||Overall, we would rate our experience 7.5/10. There is a lot to love here: beautiful surroundings, excellent accommodation, a great breakfast and some genuinely lovely staff. However, at this price point, the consistency of the service needs to match the quality of the resort itself.||With better restaurant coordination, attention to basic stock management, enforcement of pool policies and a more refined arrival experience, this could very easily become a 9/10 resort.",2026-08-16T23:59:59.999Z
Perhentian Island Resort,,4.0,,2026-08-15T00:23:50.636Z
Perhentian Island Resort,,2.0,"Quel gâchis alors que le potentiel est là  et que le site est magnifique !
Les chambres : globalement sales , la sdb délabrée, le ménage (vu)  est fait (en 5')  avec une serviette de plage sans produits d'entretien (ceci explique cela), les équipements cassés ou non entretenus. Les abords sont sales et ns avons fini par ramasser ce qui traînait autour de la chambre.
L'alimentation : allez manger dans l'hôtel à côté ! Les bacs ne sont pas remplis en continu, il faut compter 30'. Nous avons payé un buffet (×3) et il n'y avait qu'un bac de riz et un bac de viande, les 10 autres étaient vides a 19h30. Au bout de 40' nous sommes partis, le ventre quasi vide.... l'environnement est egalement sale et pas engageant.

La direction avertie s'est excusée et a envoyé une équipe faire un ménage complet. C'est gentil, mais les autres jours : retour aux habitudes.

Tout cela a un peu gâché notre sejour (4jours) qui a été sauvé par le restaurant d'à côté et par les fonds sous-marin magnifiques.

C'est bien dommage car le site a du potentiel, il manque juste un vrai management hôtelier : vérifier la qualité du ménage, tenir la zone de restauration propre, réachalander le buffet en continu et vérifier les abords du site pour enlever les déchets qui l'encombre.",2026-08-14T17:58:25.880Z
Perhentian Island Resort,,5.0,,2026-08-13T13:30:51.568Z
Perhentian Island Resort,,2.0,"Je suis très très très mitigée sur cet hôtel.

La plage est terriblement belle et l’hôtel terriblement vétuste. Je suis passée de l’ébahissement au dégoût tout au long de mon séjour.

La première certitude c’est qu’en séjournant là, il faut être très très à l’aise avec la faune: jeckos, lézards, fourmis, sauterelles, écureuils qui ressemblent à des rats, varans et même des varans malais. Dans la chambre, il y a tout de même une mise en garde contre toute cette faune et également contre des serpents. Sincèrement, nous n’en avons pas vu. Mais toutes ces bêtes sont omniprésentes. Donc j’ai passé un séjour en état d’alerte maximum 🤣

Ensuite, la chambre est crade au possible, elle sent les égouts et le linge de lit et de bain est… piteux. Troué, taché, jaune… j’ai mis des photos mais l’insalubrité générale de l’hôtel est indescriptible. Les transats à la plage sont des planches en bois sans matelas et il n’y a pas de parasols. Si vous vous mettez sous les palmiers, prenez garde aux écureuils qui en ont terrifié certains.
Pour finir, le petit déjeuner est très sommaire, le café indéfinissable: noir pétrole mais absolument aucun goût de café. Le resto du soir était sincèrement correct. Il n’y a rien à faire le soir, prévoyez un IPad et une connexion 4/5G qui fonctionne très bien. Il n’y a pas de wifi.

Quant à la plage… waouh! La plus belle de Perhentian. On a nagé quotidiennement avec des raies, des tortues, des bébés requins etc

Il y a plein de gens qui viennent à la journée (c’est le défilé des bateaux par contre) et je me demande si ce n’est pas ce qu’il faut faire en réalité. Bref.

Aussi je ne déconseillerais pas d’y aller vu la magie de la plage mais d’y aller en connaissance de cause et en payant le bon prix car moi, j’ai payé sur Agoda/Booking plus de 300€ la nuit et à ce prix là, c’est sincèrement du vol manifeste.",2026-08-13T07:27:11.195Z
Perhentian Island Resort,,5.0,"Yorumları görünce çok korkmuştum ve çok tedirgin gelmiştim ama gerçekten çok güzeldi. Restaurantın kahvaltıları çok iyi, özellikle istediğiniz gibi omlet zeytin peynir domates ve salatalık görünce kahvaltıda çok şaşırdım burada beklemiyordum. Konumu muhteşem önündeki plaj dünya harikası, her gün denizdeki dubanın sol tarafında mutlaka 2-3 kaplumbağa görüyorsunuz, sağ tarafında ikinci dubanın olduğu yerlerde de resifler harika ve bir sürü farklı balık görebilirsiniz. Oda kısmına gelince bence konumları ve genişliği gayet iyi fakat bize eşimle iki ayrı yataklı oda denk geldi ve çok üzüldük tamamen book olmuştu oteldeki odalar. Arkada badminton sahası ve havuz var. Tek önerim fruit plate e daha tropikal meyveler koymanızı rica ederim mango, hindistan cevizi gibi maalesef biz burayı ziyaret edenlerdeki bu tarz meyveler bu kadar lezzetli değil.",2026-08-12T14:39:11.965Z
Perhentian Island Resort,,2.0,"Good location to relax under sunny skies.

2026 update) Understand that bed bugs could be active and unless controlled properly,…",2026-08-12T11:05:32.680Z
Perhentian Island Resort,1/5,,"I don't even know where to start. Rude, lazy staff, awful rooms, bad restaurant. ||The beach is kind of nice and very crowded. ||I'm sitting here on night one of 3 and seriously considering just leaving. The icing on the cake is paying premium money for a 'superior' room and then getting told there's no wifi there. The rusty screws sticking out of the walls are a nice touch too. Beautiful.",2026-08-11T23:59:59.999Z
Perhentian Island Resort,,4.0,The most gorgeous place i’ve ever stayed in my life the beach and ocean is beautiful and the resort is very nice. Staff are unfriendly and cold and the food really is inedible.,2026-08-10T09:45:37.621Z
Perhentian Island Resort,,5.0,On y est allé uniquement pour avoir accès à la plage mais vraiment je recommande cet endroit c'est le seul endroit où vous pourrez faire du snorkeling et avoir une plage paradisiaque sans avoir à payer des taxis bottes 50 €,2026-08-10T02:22:03.959Z
The Taaras Beach & Spa Resort,,5.0,"We stayed here for two nights with my husband to celebrate our wedding anniversary, and everything was absolutely perfect! The location is incredible, with a private beach that is among the most beautiful I have seen in Malaysia (and honestly… anywhere else too). The staff were incredibly kind, welcoming and always happy to help. Our room was wonderful, with a breathtaking view. The package also included several activities that we really enjoyed, such as snorkeling with turtles and kayaking. We were also incredibly lucky to take part in a turtle hatchling release, supporting SEATRUE, an organization dedicated to protecting these beautiful animals. It was a truly emotional and unforgettable experience. The food at the restaurant was also very good, and breakfast was excellent and plentiful.
There is also the opportunity to join yoga classes, either on the beach in the morning or in the dedicated yoga space overlooking the sea. Our instructor, Huril, was incredibly kind and very knowledgeable. The classes were both relaxing and enjoyable, but also challenging in the best possible way! I highly recommend staying at this resort and truly hope to be able to come back in the future!",2026-09-11T08:57:56.542Z
The Taaras Beach & Spa Resort,,5.0,"Beautiful  resort made better by excellent service. Especially good service from Guest Ambassador Saiful - very attentive with the food recommendations and preparations. Accommodating to our request for traditional food.

Really good breakfast.

Excellent Italian dinner cusisine at Marenero Restaurant. Chef Danny prepare really heartwarming Italian food.

Nadia is attentive to our requests as well",2026-09-11T01:53:14.905Z
The Taaras Beach & Spa Resort,,5.0,"Assalamualaikum I would like to thank you and your team for the wonderful experience at The Taaras Beach & Spa Resort. We truly enjoyed our stay and were impressed by the beautiful surroundings, excellent service, and warm hospitality.

The staff were friendly, attentive, and always willing to assist. The beach and overall atmosphere were beautiful and made our stay very relaxing and memorable.

Please convey our appreciation to the entire team for their hard work. We look forward to returning to The Taaras again in the future. Take care n will Miss u guys.",2026-09-10T13:23:05.905Z
The Taaras Beach & Spa Resort,,4.0,"Nice resort with amazing staff, especially ioga teacher (haven) and scuba instructor (itham).
All staff nice and kind
Spacious room (garden suitte)
Cool gim (amazing views)
I would ask for a deeper clean service but I would defintely repeat. One of the best hotels in Malasia.",2026-09-10T07:37:06.916Z
The Taaras Beach & Spa Resort,,5.0,"Love the warmth and friendly staff. Everyone ws so helpful and willing to give ideas on what to do, where and when to expect some activities. The service was top notch and not to forget the super fine and white sandy beach. The view from our room ( Cliff Premier Suite) was great overseeing the beaches and blue-greenish sea.
The only downside is there's no sunset appearances in Taaras. Overall, we're satisfied and probably will come again.",2026-09-06T09:18:51.770Z
The Taaras Beach & Spa Resort,5/5,,"⭐️⭐️⭐️⭐️⭐️||I had a really nice experience at Taarash Beach, especially as a solo traveler. The beach was peaceful, relaxing, and perfect for taking some time for myself. The atmosphere was beautiful, and I really enjoyed the quiet surroundings and the amazing views.||Traveling alone can sometimes feel a little overwhelming, but Taarash Beach made me feel comfortable and relaxed. It’s definitely a lovely place to visit if you want to escape the busy city and enjoy some peaceful time by the sea. 🌊✨||I would definitely love to come back again! 💙",2026-09-02T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"Struttura molto attrezzata , spiaggia spettacolare e la possibilità di oartire direttamente dal resort per fare le escursioni. Consigliato!",2026-08-31T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"The Taaras is one of the best hotels we’ve stayed at! 🌴❤️||We went island hopping, and the kids really enjoyed the activity. 🏝️🚤🐠 We had such a wonderful and memorable time together.||Beautiful place, great experience, and perfect for a family holiday. We will definitely come back again! ⭐⭐⭐⭐⭐",2026-08-31T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"We had a wonderful stay at The Taaras Beach Resort & Spa. The resort is set in a truly beautiful location, surrounded by lush nature and crystal-clear water, with an amazing beach that makes Redang Island feel like a little paradise.||We really enjoyed the peaceful atmosphere, the beautiful surroundings and the variety of services and activities available at the resort. It was the perfect place to relax, enjoy the sea and make some very special memories.||A special mention goes to Hamdan Rajab, who took great care of us throughout our stay. He was always kind, friendly and helpful, and assisted us with the reservations for the different services and activities at the resort. He was always available whenever we needed anything and made everything easy and enjoyable.||Thank you to Hamdan and the whole team for such a lovely experience. We would definitely recommend The Taaras and hope to come back again in the future!",2026-08-31T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"Truly beautiful hotel, huge and gorgeous room. Magnificent bathroom. All the staff were extremely kind—Nadia at the reception in particular was super helpful and friendly.|​Dining: Several restaurants on-site; the Asian one was really good.|​Beach & Sea: Beautiful beach and crystal-clear water, with a spot for turtle watching right nearby.|​Services: Super efficient shuttle service and everything was perfectly organized.",2026-08-31T23:59:59.999Z
Perhentian Island Resort,2/5,,"Quel gâchis.... un si joli site aussi mal géré.... |Oui le site est splendide et l'architecture de l'hôtel a du potentiel mais ce nest pas du tout géré :|1) les chambres : sont globalement sales et certains équipements délabrés : meubles de la sdb cassés,  lunette des toilettes branlantes,  flexible de douche innommable, vitre de douche sale|2) ménage : jai assisté au ménage qui a été fait avec une serviette de plage sans aucun produit le tout en 5' chrono (pas de balai, ni rien). La personne est passée à la villa d'à côté avec la même serviette.... (celle de plage distribuée a l'accueil...)|3) La restauration: la zone de restauration n'est pas nettoyée en continu, particulièrement les zones de service. Le réachalandage est aléatoire et il faut souvent attendre +30' avant de voir les bacs re-remplis. |Nous avons ainsi payé un buffet et sur la 10zaine de bacs seuls 3 étaient remplis, ils l'ont été plus de 30' après,  au moment où nous partions (le ventre creux). Idem le matin et à midi.|La solution : aller manger dans l'hôtel à côté (10' à pied) où le service est souriant et la carte alléchante. Nous y avons pris tous nos repas. ||La direction, avertie de nos remarques, s'est excusée et a dépêché une équipe de nettoyage pour faire notre chambre (à blanc)  c'est gentil et commercial mais le problème n'est pas là.| Il est dans les contrôles inexistants : personne pour vérifier la propreté des chambres,  du site (nous avons fini par nettoyer autour de notre chambre les déchets éparpillés) , de la zone de restauration. ||Cela a un peu gâché notre séjour qui a été sauvé par le restaurant d'à côté et les fonds sous-marins magnifiques.",2026-08-09T23:59:59.999Z
Perhentian Island Resort,,2.0,"C est une catastrophe cet hotel. Le service, le ménage, la nourriture, rien ne va.  Seul l emplacement est idéal,  au bord de mer. On peut voir des petits requins, des raies et des poissons tout au bord de l eau.
Mon conseil : prospectez les hôtels d a côté.",2026-08-09T13:15:36.939Z
Perhentian Island Resort,,3.0,"El hotel está muy bien ubicado en una de las mejores playas. Ahora bien, por lo que pagas es muy caro, te dan toallas rotas y desgastadas, la limpieza en las habitaciones no existe, barren un poco y listo. Sobretodo si vais no miréis los rincones no por esquinas de la habitaciones. Da asco.",2026-08-08T00:54:12.386Z
Perhentian Island Resort,,3.0,"Consigliato per 2-3 notti ma non di più.

Ottima posizione, proprio sulla spiaggia. Stanza abbastanza carina e abbastanza pulita anche se c’è un odore un po’ sgradevole in bagno e non è mai stata pulita durante il soggiorno. Il complesso del resort e le stanze dovrebbero essere rinfrescati e puliti meglio.
Il wifi non funziona e non c’è la TV in stanza. Il ristorante non è nulla di ché.
Con qualche accorgimento, pulizia, e migliorie avrebbe un alto potenziale.",2026-08-06T13:55:16.095Z
Perhentian Island Resort,,4.0,Niesamowita okolica. Plaża i miejsce do snorkelingu. Sam hotel ma dużo do poprawy. Bardzo słaby internet. Kiepskie śniadania i droga restauracja.,2026-08-03T12:14:37.715Z
Perhentian Island Resort,,4.0,"Prachtig eiland.
We zagen een beetje tegen ons verblijf op, gezien alle negatieve reviews. Maar de kamer was schoon (badkamer wat verouderd). Zwembad is netjes, strand is fijn. Snackbar ook prima voor de lunch. Personeel was naar ons heel vriendelijk en behulpzaam. Kortom het viel echt zo mee! Bed werd iedere dag opgedekt, schone handdoeken en iedere dag 2 flesjes water. Eten hebben we iedere avond bij Barat gedaan, daar met 19en steeds lekker gegeten.

Aanrader: jungle trekking naar andere kant eiland. Vertrekpunt is badmintonveld.",2026-08-03T08:33:44.821Z
Perhentian Island Resort,,3.0,,2026-08-03T04:46:48.852Z
Perhentian Island Resort,,5.0,,2026-08-01T11:34:33.769Z
Perhentian Island Resort,3/5,,"The beach is stunning! White sand, turquoise sea and turtles and sharks 5 meters away from the coast. The beach front bungalows have an amazing view and location. The accommodation is clean, but very basic, old and worn. The bed is comfortable and the air conditioning works. The resorts itself is very tired, breakfast was so poor I stopped going, and the staff look exhausted and totally fed up. If your priority is beach life and you are happy to explore other food options, and a simple room and bathroom are ok for you then this resort could work for you!",2026-07-29T23:59:59.999Z
Perhentian Island Resort,,4.0,"Abbiamo passato in questo resort 5 giorni e 4 notti. Per iniziare devo dire che abbiamo sognato le isole perenthian per mesi, e devo dire che non deludono le aspettative, sono un paradiso incontaminata! Siamo però partiti un pò scoraggiati dalle recensioni delle varie strutture e dopo un annetto di ricerca conveniamo nel prenotare al PIR camera beach front. Capitolo posizione: sicuramente la spiaggia piu bella di tutte e due le isole, la spiaggia si trova a Besar(isola grande), posizione eccellente, turtle point a 50 m dalla riva. Tutti i giorni abbiamo fatto il bagno in mezzo a pesci di ogni specie,  razze e tanti squaletti pinna nera che venivano regolarmente a trovarci, sensazione meravigliosa! Capitolo camera: la camera beach front è sicuramente la migliore del resort,  abbiamo scelto il pacchetto colazione inclusa, la camera è in legno, sicuramente no  di lusso ma direi che le assegnerei 3 stelle. Comunque dispone di questa balconata fronte mare, ogni mattina ci siamo svegliati con il rumore del mare praticamente a 30 secondi di distanza da noi. Camera in sostanza pulita, ovviamente bisogna tenere presente che si è su un isola abbastanza selvaggia  in malesia. Capitolo servizi; i ragazzi che lavorano al PIR sono tutti gentilissimi e cordiali, sicuramente metterei piu lettini sulla spiaggia e magari una tipologia piu comoda, ma che te ne fai dei lettini quando hai quella sabbia paradisiaca? Capitolo cibo: la colazione del PIR era abbastanza fornita con una buona scelta internazionale e soprattutto asiatica. Conclusioni: la nostra esperienza estate piu che positiva! Ovviamente bisogna tenere conto che si è su un isola selvaggia, con un mare da sogno che sicuramente non ha niente da invidiare a posti come le Maldive. Inutile cercare una servizio 5 stelle, qui si viene per distaccarsi dal mondo! Lo consiglio vivamente a chi vuole immergersi in questo paradiso.",2026-07-29T00:49:03.028Z
The Taaras Beach & Spa Resort,5/5,,"Resort staff are hospitality and friendly to welcome us at the resort’s lobby, the room is equipped with all amenities needed and we have a big room with the living room separated. Beach is wonderful with the white sand and crystal clear water. I like the beach bench under the small hut to feels the peace and calmness.",2026-08-31T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"Special Thanks to Nadia from Taaras Guest experience for making us feel very welcome & entertain all our requests with professionalism &hospitality.1st Class Guest Experience for us.||Also a Special Thanks to Adila of Reservations, she really showed empathy & hospitality in handling out booking request.||Both Nadia & Adila are an Asset to Taaras Resort & went above their duties to make us feel at home.||Other staff were all very professional &friendly.||Resort itself is Fabulous.||Mr. Adam. (Room154 28/8/2026)",2026-08-30T23:59:59.999Z
The Taaras Beach & Spa Resort,,5.0,makan tengah hari dgn mcm2 jenis lauk,2026-08-30T17:01:24.063Z
The Taaras Beach & Spa Resort,5/5,,Hamdan the guest officer was such a delight to have in assisting us with anything to the resort. He provided us with excellent service and made our stay really convenient especially as we had a baby with us. TQ HAMDAN.,2026-08-29T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"Location meravigliosa, qualche piccola manutenzione necessaria ma la cortesia assoluta di tutto il personale e i luoghi meravigliosi che abbiamo visitato meritano un ritorno.|Colazione fornita di tutto quello che si può immaginare, ristoranti interni molto buoni, ma appena fuori dalla sbarra c'è una ""trattoria"" locale da urlo",2026-08-29T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"Ci siamo trovati davvero benissimo! Il resort è stupendo e si trova su una spiaggia magnifica, a nostro parere la più bella dell’isola. Il mare e il contesto sono semplicemente meravigliosi.||Un altro grande punto di forza è sicuramente lo staff: tutti sono stati estremamente gentili, cordiali e disponibili durante l’intero soggiorno. A seguito di un piccolo inconveniente, hanno gestito la situazione nel migliore dei modi e ci hanno gentilmente offerto un upgrade in una bellissima camera con vista mare, un gesto che abbiamo apprezzato davvero molto.||Vorremmo fare i complimenti a tutto lo staff, ma un ringraziamento speciale va a Nadia, che ci ha seguito con grande attenzione durante tutto il soggiorno. Ogni giorno si è assicurata che tutto andasse bene, ha ascoltato le nostre esigenze ed è sempre stata disponibile ad aiutarci per qualsiasi richiesta o problema, facendoci sentire davvero accolti e coccolati.||Consigliamo assolutamente questo resort: un posto meraviglioso, con una spiaggia da sogno e uno staff eccezionale. Ci porteremo a casa un bellissimo ricordo di questa esperienza! ❤️",2026-08-28T23:59:59.999Z
The Taaras Beach & Spa Resort,5/5,,"We had a wonderful honeymoon at the Taaras Beach & Spa Resort. The location could not be better. Wonderful private beach, crystal clear water, fine sand and a very intimate feeling. The service was exceptional. The whole staff made us feel very privileged.",2026-08-27T23:59:59.999Z
