marine_park,month,sst_celsius,turbidity_index
Pulau Perhentian,2025-12,28.04,480.6648
Pulau Perhentian,2026-01,27.81,1047.4614
Pulau Perhentian,2026-02,28.04,
Pulau Perhentian,2026-03,29.19,922.9703
Pulau Perhentian,2026-04,29.98,1267.0254
Pulau Perhentian,2026-05,30.86,1112.927
Pulau Perhentian,2026-06,30.72,457.3338
Pulau Perhentian,2026-07,30.61,514.7988
Pulau Perhentian,2026-08,30.61,1150.7734
Pulau Perhentian,2026-09,30.58,
Pulau Perhentian,2026-10,,
Pulau Perhentian,2026-11,,
Pulau Perhentian,2026-12,,
Pulau Tioman,2023-01,27.61,6835.0778
Pulau Tioman,2023-02,27.37,
Pulau Tioman,2023-03,27.57,4668.2062
Pulau Tioman,2023-04,29.65,1766.5733
Pulau Tioman,2023-05,29.98,3206.7435
Pulau Tioman,2023-06,29.0,2208.3129
Pulau Tioman,2023-07,29.09,4299.5567
Pulau Tioman,2023-08,28.95,1901.2863
Pulau Tioman,2023-09,28.95,1408.8674
Pulau Tioman,2023-10,30.14,4378.324
Pulau Tioman,2023-11,30.31,3561.6628
Pulau Tioman,2023-12,28.55,
Pulau Tioman,2024-01,27.93,9934.3536
Pulau Tioman,2024-02,28.22,3164.9022
Pulau Tioman,2024-03,29.01,2985.4329
Pulau Tioman,2024-04,30.54,4723.7553
Pulau Tioman,2024-05,30.53,
Pulau Tioman,2024-06,30.2,3915.5459
Pulau Tioman,2024-07,29.48,1379.3739
Pulau Tioman,2024-08,29.26,1051.5347
Pulau Tioman,2024-09,29.28,
Pulau Tioman,2024-10,29.93,4792.1089
Pulau Tioman,2024-11,30.09,
Pulau Tioman,2024-12,28.67,
Pulau Tioman,2025-01,27.86,
Pulau Tioman,2025-02,27.6,
Pulau Tioman,2025-03,28.2,5774.0293
Pulau Tioman,2025-04,29.28,4885.9936
Pulau Tioman,2025-05,30.08,2132.6361
Pulau Tioman,2025-06,29.39,1873.2231
Pulau Tioman,2025-07,29.14,635.283
Pulau Tioman,2025-08,28.84,1962.1619
Pulau Tioman,2025-09,29.11,
Pulau Tioman,2025-10,29.57,1915.4659
Pulau Tioman,2025-11,29.55,
Pulau Tioman,2025-12,28.07,2232.462
Pulau Tioman,2026-01,27.33,4434.54
Pulau Tioman,2026-02,27.44,558.595
Pulau Tioman,2026-03,28.54,2660.9245
Pulau Tioman,2026-04,29.72,6601.8263
Pulau Tioman,2026-05,30.66,1247.8067
Pulau Tioman,2026-06,29.53,2789.488
Pulau Tioman,2026-07,29.43,2790.2402
Pulau Tioman,2026-08,29.22,597.497
Pulau Tioman,2026-09,29.26,4648.9238
Pulau Tioman,2026-10,,
Pulau Tioman,2026-11,,
Pulau Tioman,2026-12,,
Pulau Payar,2023-01,28.55,700.6837
Pulau Payar,2023-02,28.89,392.2054
Pulau Payar,2023-03,29.0,730.8044
Pulau Payar,2023-04,30.46,834.6529
Pulau Payar,2023-05,31.05,696.8858
Pulau Payar,2023-06,30.73,260.3938
Pulau Payar,2023-07,30.72,348.1858
Pulau Payar,2023-08,30.66,416.5419
Pulau Payar,2023-09,29.9,
Pulau Payar,2023-10,30.31,564.8857
Pulau Payar,2023-11,30.17,
Pulau Payar,2023-12,28.81,225.8747
Pulau Payar,2024-01,28.24,243.7805
Pulau Payar,2024-02,28.99,377.2382
Pulau Payar,2024-03,29.67,
Pulau Payar,2024-04,31.1,870.2366
Pulau Payar,2024-05,31.51,
Pulau Payar,2024-06,31.25,275.3736
Pulau Payar,2024-07,30.65,2197.026
Pulau Payar,2024-08,30.55,
Pulau Payar,2024-09,30.11,
Pulau Payar,2024-10,30.09,759.1238
Pulau Payar,2024-11,30.16,271.085
Pulau Payar,2024-12,29.29,195.839
Pulau Payar,2025-01,28.76,295.8543
Pulau Payar,2025-02,28.94,400.3732
Pulau Payar,2025-03,29.59,658.4634
Pulau Payar,2025-04,30.31,885.0383
Pulau Payar,2025-05,30.72,
Pulau Payar,2025-06,30.54,993.3981
Pulau Payar,2025-07,30.93,299.4904
Pulau Payar,2025-08,30.63,577.2875
Pulau Payar,2025-09,30.19,
Pulau Payar,2025-10,29.82,1107.8209
Pulau Payar,2025-11,29.53,
Pulau Payar,2025-12,28.86,269.095
Pulau Payar,2026-01,28.55,246.7905
Pulau Payar,2026-02,28.9,345.8723
Pulau Payar,2026-03,29.84,689.2786
Pulau Payar,2026-04,30.96,866.8902
Pulau Payar,2026-05,31.23,367.2185
Pulau Payar,2026-06,30.82,284.2249
Pulau Payar,2026-07,30.79,419.051
Pulau Payar,2026-08,30.83,702.243
Pulau Payar,2026-09,30.96,
Pulau Payar,2026-10,,
Pulau Payar,2026-11,,
Pulau Payar,2026-12,,
Pulau Sipadan,2023-01,28.75,130.5719
Pulau Sipadan,2023-02,28.92,
Pulau Sipadan,2023-03,28.97,345.2714
Pulau Sipadan,2023-04,29.81,
Pulau Sipadan,2023-05,30.07,121.9947
Pulau Sipadan,2023-06,29.6,
Pulau Sipadan,2023-07,29.25,698.4021
Pulau Sipadan,2023-08,29.45,1122.896
Pulau Sipadan,2023-09,29.4,1055.9203
Pulau Sipadan,2023-10,29.99,630.6088
Pulau Sipadan,2023-11,30.05,
Pulau Sipadan,2023-12,29.41,300.5279
Pulau Sipadan,2024-01,29.16,312.8222
Pulau Sipadan,2024-02,29.15,519.7528
Pulau Sipadan,2024-03,29.18,448.4373
Pulau Sipadan,2024-04,29.92,330.6118
Pulau Sipadan,2024-05,30.52,621.6421
Pulau Sipadan,2024-06,29.97,
Pulau Sipadan,2024-07,29.57,371.523
Pulau Sipadan,2024-08,29.72,
Pulau Sipadan,2024-09,29.62,413.3734
Pulau Sipadan,2024-10,29.73,358.7027
Pulau Sipadan,2024-11,30.03,574.7241
Pulau Sipadan,2024-12,29.63,
Pulau Sipadan,2025-01,29.16,92.4292
Pulau Sipadan,2025-02,29.13,
Pulau Sipadan,2025-03,29.11,
Pulau Sipadan,2025-04,29.77,
Pulau Sipadan,2025-05,30.13,301.7143
Pulau Sipadan,2025-06,29.66,430.8813
Pulau Sipadan,2025-07,29.56,262.3629
Pulau Sipadan,2025-08,29.46,
Pulau Sipadan,2025-09,29.53,
Pulau Sipadan,2025-10,29.75,171.5461
Pulau Sipadan,2025-11,29.53,733.7911
Pulau Sipadan,2025-12,29.3,
Pulau Sipadan,2026-01,28.84,309.3846
Pulau Sipadan,2026-02,28.62,
Pulau Sipadan,2026-03,28.8,
Pulau Sipadan,2026-04,29.78,532.147
Pulau Sipadan,2026-05,30.4,
Pulau Sipadan,2026-06,29.61,352.1069
Pulau Sipadan,2026-07,29.56,405.5689
Pulau Sipadan,2026-08,29.45,1182.5577
Pulau Sipadan,2026-09,29.25,1055.3095
Pulau Sipadan,2026-10,,
Pulau Sipadan,2026-11,,
Pulau Sipadan,2026-12,,
