destination,month,avg_sentiment,negative_share,n_reviews,visitors,visitor_growth,negative_share_norm,visitor_growth_norm,pressure_score,is_forecast
Mount Kinabalu,2023-10,0.8687,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False
Mount Kinabalu,2023-11,0.68632,0.0,5.0,5.0,4.0,0.0,0.0689655172413793,3.4482758620689653,False
Mount Kinabalu,2023-12,0.5989,0.0,2.0,2.0,-0.6,0.0,0.0,0.0,False
Mount Kinabalu,2024-01,0.4040333333333333,0.0,3.0,3.0,0.5,0.0,0.0086206896551724,0.4310344827586206,False
Mount Kinabalu,2024-02,0.4447,0.0,4.0,4.0,0.3333333333333332,0.0,0.0057471264367816,0.2873563218390804,False
Mount Kinabalu,2024-03,0.5882333333333333,0.0,6.0,6.0,0.5,0.0,0.0086206896551724,0.4310344827586206,False
Mount Kinabalu,2024-04,0.854875,0.0,4.0,4.0,-0.3333333333333333,0.0,0.0,0.0,False
Mount Kinabalu,2024-05,0.74718,0.0,5.0,5.0,0.25,0.0,0.0043103448275862,0.2155172413793103,False
Mount Kinabalu,2024-06,0.32275,0.25,12.0,11.0,1.2000000000000002,0.4166666666666667,0.0206896551724137,21.867816091954023,False
Mount Kinabalu,2024-07,0.38405,0.1666666666666666,12.0,12.0,0.0909090909090908,0.2777777777777778,0.0015673981191222,13.967258794845003,False
Mount Kinabalu,2024-08,0.4687875,0.0,8.0,8.0,-0.3333333333333333,0.0,0.0,0.0,False
Mount Kinabalu,2024-09,0.44545,0.0,4.0,4.0,-0.5,0.0,0.0,0.0,False
Mount Kinabalu,2024-10,0.5103444444444444,0.1111111111111111,9.0,8.0,1.0,0.1851851851851851,0.0172413793103448,10.1213282247765,False
Mount Kinabalu,2024-11,0.91248,0.0,5.0,3.0,-0.625,0.0,0.0,0.0,False
Mount Kinabalu,2024-12,0.6277,0.0,5.0,5.0,0.6666666666666667,0.0,0.0114942528735632,0.574712643678161,False
Mount Kinabalu,2025-01,0.59494,0.2,5.0,5.0,0.0,0.3333333333333333,0.0,16.666666666666668,False
Mount Kinabalu,2025-02,0.1695,0.5,4.0,4.0,-0.1999999999999999,0.8333333333333334,0.0,41.66666666666667,False
Mount Kinabalu,2025-03,0.691075,0.0,4.0,4.0,0.0,0.0,0.0,0.0,False
Mount Kinabalu,2025-04,0.0,0.0,1.0,1.0,-0.75,0.0,0.0,0.0,False
Mount Kinabalu,2025-05,0.3641666666666667,0.0,6.0,6.0,5.0,0.0,0.0862068965517241,4.310344827586207,False
Mount Kinabalu,2025-06,0.3289857142857143,0.1428571428571428,7.0,7.0,0.1666666666666667,0.238095238095238,0.0028735632183908,12.048440065681444,False
Mount Kinabalu,2025-07,0.39138,0.0,5.0,5.0,-0.2857142857142857,0.0,0.0,0.0,False
Mount Kinabalu,2025-08,0.6585444444444444,0.0,9.0,9.0,0.8,0.0,0.0137931034482758,0.6896551724137931,False
Mount Kinabalu,2025-09,0.50356,0.2,5.0,5.0,-0.4444444444444444,0.3333333333333333,0.0,16.666666666666668,False
Mount Kinabalu,2025-10,0.3929285714285714,0.1428571428571428,7.0,7.0,0.3999999999999999,0.238095238095238,0.0068965517241379,12.2495894909688,False
Mount Kinabalu,2025-11,0.4024999999999999,0.0,2.0,2.0,-0.7142857142857143,0.0,0.0,0.0,False
Mount Kinabalu,2025-12,0.5585666666666667,0.0,6.0,6.0,2.0,0.0,0.0344827586206896,1.7241379310344829,False
Mount Kinabalu,2026-01,0.4183375,0.125,8.0,8.0,0.3333333333333332,0.2083333333333333,0.0057471264367816,10.704022988505749,False
Mount Kinabalu,2026-02,0.5422428571428571,0.1428571428571428,7.0,7.0,-0.125,0.238095238095238,0.0,11.904761904761903,False
Mount Kinabalu,2026-03,0.2197153846153846,0.2307692307692307,13.0,12.0,0.7142857142857142,0.3846153846153846,0.0123152709359605,19.846532777567266,False
Mount Kinabalu,2026-04,0.2050999999999999,0.5555555555555556,9.0,7.0,-0.4166666666666666,0.925925925925926,0.0,46.29629629629631,False
Mount Kinabalu,2026-05,0.3598727272727273,0.2727272727272727,11.0,11.0,0.5714285714285714,0.4545454545454545,0.0098522167487684,23.21988356471115,False
Mount Kinabalu,2026-06,0.4149545454545454,0.2727272727272727,11.0,11.0,0.0,0.4545454545454545,0.0,22.727272727272727,False
Mount Kinabalu,2026-07,0.58416,0.0,5.0,5.0,-0.5454545454545454,0.0,0.0,0.0,False
Mount Kinabalu,2026-08,0.61465,0.125,8.0,8.0,0.6000000000000001,0.2083333333333333,0.0103448275862068,10.933908045977011,False
Mount Kinabalu,2026-09,-0.23492,0.6,5.0,5.0,-0.375,1.0,0.0,50.0,False
Penang Hill,2026-02,0.66668125,0.0625,16.0,15.0,0.0,0.1041666666666666,0.0,5.208333333333334,False
Penang Hill,2026-03,0.68918,0.0307692307692307,65.0,65.0,3.333333333333333,0.0512820512820512,0.057471264367816,5.437665782493369,False
Penang Hill,2026-04,0.55426,0.1142857142857142,35.0,32.0,-0.5076923076923077,0.1904761904761904,0.0,9.523809523809524,False
Penang Hill,2026-05,0.532709375,0.15625,32.0,30.0,-0.0625,0.2604166666666667,0.0,13.020833333333334,False
Penang Hill,2026-06,0.7196543478260871,0.0,46.0,44.0,0.4666666666666665,0.0,0.0080459770114942,0.4022988505747125,False
Penang Hill,2026-07,0.5163227272727272,0.1363636363636363,44.0,42.0,-0.0454545454545454,0.2272727272727272,0.0,11.363636363636363,False
Penang Hill,2026-08,0.4200111111111111,0.1555555555555555,45.0,41.0,-0.0238095238095238,0.2592592592592593,0.0,12.962962962962964,False
Penang Hill,2026-09,0.7511333333333333,0.0,9.0,9.0,-0.7804878048780488,0.0,0.0,0.0,False
Petronas Twin Towers,2026-08,0.5620694214876033,0.0330578512396694,121.0,116.0,0.0,0.0550964187327823,0.0,2.7548209366391188,False
Petronas Twin Towers,2026-09,0.6084592105263158,0.0657894736842105,76.0,74.0,-0.3620689655172413,0.1096491228070175,0.0,5.482456140350877,False
BOH Tea Centre (Sungei Palas Garden),2026-10,,,,,,,,0.0,True
BOH Tea Centre (Sungei Palas Garden),2026-11,,,,,,,,0.0,True
BOH Tea Centre (Sungei Palas Garden),2026-12,,,,,,,,0.0,True
Genting SkyWorlds Theme Park,2026-09,,,,,,,,3.8037753859319956,True
Genting SkyWorlds Theme Park,2026-10,,,,,,,,2.2296255369022155,True
Genting SkyWorlds Theme Park,2026-11,,,,,,,,0.6554756878724373,True
Jonker Street Night Market,2026-10,,,,,,,,15.834837038065215,True
Jonker Street Night Market,2026-11,,,,,,,,18.948718164143703,True
Jonker Street Night Market,2026-12,,,,,,,,22.06259929022219,True
Kellie's Castle,2026-10,,,,,,,,3.39143262891303,True
Kellie's Castle,2026-11,,,,,,,,0.0,True
Kellie's Castle,2026-12,,,,,,,,0.0,True
Langkawi Skybridge Cable Car,2026-10,,,,,,,,0.0,True
Langkawi Skybridge Cable Car,2026-11,,,,,,,,0.0,True
Langkawi Skybridge Cable Car,2026-12,,,,,,,,0.0,True
Mount Kinabalu,2026-10,,,,,,,,21.208849480811715,True
Mount Kinabalu,2026-11,,,,,,,,21.82524497836485,True
Mount Kinabalu,2026-12,,,,,,,,22.441640475917982,True
Penang Hill,2026-10,,,,,,,,6.922215658360976,True
Penang Hill,2026-11,,,,,,,,6.8516096893816485,True
Penang Hill,2026-12,,,,,,,,6.781003720402321,True
