destination,rating,text,month
Penang Hill,1,Place was very crowded and needs to wait 1-2 hours just to board the train. Express pass all sold out.,2026-08
Penang Hill,5,來這眺望整個檳城市區,2026-08
Penang Hill,5,"RM40 for foreigners. It’s better to get a front seat. If you can’t, recording from the top is still good. After getting off the funicular, go upstairs to the right and record from the top. There are regular and priority/VIP lanes.

At the top, you can ride a buggy (RM40 per buggy) because the area is big. You can stop at Monkey Cup or Habitat. But for the return trip, you need to pay another RM15 per buggy.",2026-08
Penang Hill,3,"ia sangat cantik,dan pemendangan yang tenang",2026-08
Penang Hill,5,Pertama kali ke Penang Hill...cantik viewnya...pakai express jd tidak antri panjang 👍,2026-08
Penang Hill,5,"We visited Penang Hill to unwind and escape the stress, and it was absolutely worth it. The views are breathtaking, the cool breeze is so refreshing, and the peaceful atmosphere makes it the perfect place to relax and enjoy nature. A great spot to slow down, recharge, and simply take in the beautiful surroundings. Highly recommended!",2026-07
Penang Hill,5,เย็นสบาย,2026-07
Penang Hill,1,I give zero star for the train service. Why do we need to wait for 2-3 hours ? Why can’t they operate more frequently instead of letting tourist to wait for 2-3 hours in order to get to the top? Moreover today is weekday and there is not a public holiday.,2026-07
Penang Hill,4,Nice experience in Penang. Recommend to come on weekdays or off peak days as it may get quite crowded during public holidays. The tram ride up the hill is spectacular. The view up there is very nice and you could see the entire island. If you're adventurous you could walk up/down the hill via the trail.,2026-07
Penang Hill,5,Definitely worth the visit,2026-07
Penang Hill,5,"First time being here, even occasionally back and forth to penang to medical check up. Great palace to see penang city view from above. Easy to access using train, overall great place to visit.",2026-07
Penang Hill,5,參觀完 The Habita之後有免費接駁電車，很貼心,2026-07
Penang Hill,5,"Penang Hill is one of the best attractions in Penang and definitely worth visiting. The funicular train ride is smooth and enjoyable, and the views from the top are absolutely breathtaking. The cool weather, lush greenery, and panoramic city views make it a perfect place to relax and take photos. There are plenty of viewing platforms, cafés, and walking trails to explore. I highly recommend visiting early in the morning or around sunset for the best experience. A must-visit destination for anyone traveling to Penang! 🌿🚠📸",2026-07
Penang Hill,3,"Nice views. UNESCO site with a lot of biodiversity - but very sad to see local cars parked, not moving and turned on for hours with AC on and windows open. Prices are sometimes a bit abusive, sometimes not. Bittersweet experience.",2026-07
Penang Hill,5,"We had a lovely morning on the Hill, with a different view of Penang.

Overall it is a good tourist spot. Food and drinks available at the top and lower part of the hill.

Breathtaking view and cooling weather. It features a historic funicular railway and The Habitat, an eco-tourism park with a canopy walk through a 130-million-year-old rainforest.",2026-07
Penang Hill,2,"Non ci sono salito perche c'erano oltre 70 minuti di colonna. In più giocano molto sul ""biglietto normal"" oppure ""biglietto fast"" con un sovrapprezzo del 100% in sistanza sfruttano i turisti ???",2026-07
Penang Hill,5,ตรงข้างล่างของภูเขาตรงทางขึ้นมีแมวส้มน่ารักมาก เป็นมิตรและชอบให้ลูบตัว ด้านบนบรรยากาศดี แต่คนค่อนข้างเยอะ,2026-07
Penang Hill,5,"A refreshing escape from the city's heat with cool weather and spectacular views of Penang. The funicular train ride is smooth and enjoyable, and there are plenty of attractions, cafés, and walking trails at the top. Visiting early helps avoid long queues.",2026-07
Penang Hill,5,"A must-visit destination in Penang! The views from the top are absolutely breathtaking, especially on a clear day. The funicular train ride was smooth and enjoyable, and the cool weather made the visit even more pleasant. Plenty of food options and beautiful spots for photos. Highly recommended!",2026-07
Penang Hill,2,"The view is pretty good, but not amazing. The wait going up and down was very, very long(almost 2 hrs up and another 2 hrs going down). It was a Saturday, so probably extra busy. That was our mistake. I tried to get express tickets but they were sold out. I didn’t think it was worth it.",2026-07
Penang Hill,5,It’s a very nice to be here,2026-07
Penang Hill,4,"Tandas perlu dibersihkan, bau air kencing boleh dihidu dari luar",2026-07
Penang Hill,5,"Bukit Bendera merupakan salah satu destinasi yang wajib dikunjungi apabila berada di Pulau Pinang. Perjalanan menaiki kereta api funikular sangat menyeronokkan, manakala pemandangan dari puncak memang cantik dan menenangkan. Udara yang sejuk serta suasana yang nyaman menjadikan tempat ini sesuai untuk bersantai bersama keluarga atau rakan-rakan.

Terdapat pelbagai kemudahan, kedai makan dan tempat menarik untuk diterokai. Kawasannya juga bersih dan terjaga dengan baik. Disarankan datang pada waktu pagi atau lewat petang untuk menikmati cuaca yang lebih nyaman dan mengelakkan kesesakan.

Secara keseluruhannya, pengalaman yang sangat memuaskan dan pasti akan datang lagi jika berpeluang.",2026-07
Penang Hill,5,Good healing spot for family also. And you must dine in the foodcourt. They have delicious bingsu ice cream with fresh food and various nut. Very satisfying. View is priceless esp at skywalk,2026-07
Penang Hill,4,"一早上山人較少，下午人漸多。
空中步道不錯，只是要另外收費。",2026-07
Penang Hill,1,"I have visited Penang Hill four times before, and today’s visit was by far the most disappointing.

At around 10:08 AM, my friend and I entered the boarding area. There was a photo-taking station, but since my friend had a flight to catch, we politely told the staff that we didn’t want to take a photo and continued walking.

A Malay female staff member suddenly shouted at us in Malay, asking why we couldn’t wait, and then called us “bodoh” (stupid). We simply turned around and looked at her, but she continued speaking to us in a rude and disrespectful manner.

No customer should ever be insulted or verbally abused. We did not cut the queue or behave disrespectfully—we simply chose not to use the optional photo service.

This incident completely ruined our visit and left a very bad impression, especially as it was my friend’s first time at Penang Hill.",2026-07
Penang Hill,3,Mega toeristische plek. Je betaalt 40 RM om op en neer te kunnen met het treintje. Eenmaal boven is het vrij duur en wordt er momenteel gebouwd op het plein. Je kan een stuk rondwandelen maar je mist ook niets als je deze plek over slaat.,2026-07
Penang Hill,3,Het bos is mooi ! Kom vroeg ivm de drukte ! Er wordt geroepen bij de foodcourt. Niet iedereen kan Engels ! Let op weinig zitplaatsen. Voor de rest prima plek. Portie voldoende prijzen zijn laag.,2026-07
Penang Hill,4,Id say its worth a visit you get a nice view and you can see some monkeys there is a temple and a mosque at the top and its really peacefull towards the night(except for the bugs) time defenitly go around sunset and relax there a bit,2026-07
Penang Hill,5,I love the weather and the view,2026-07
Penang Hill,5,"Kalau datang penang hill ni mesti makan ais buah kat atas... penang hill offers you variety type of experience, not just it scenic view, but u may enjoy your coffee, foods and architectural alongside with its nature..",2026-07
Penang Hill,5,Great views and lovely nature walk.,2026-07
Penang Hill,5,verry nice place,2026-07
Penang Hill,5,"Not my first time up the hill but my first time hiking up.
Many stairs for the 1st part all the way to middle station thereafter more slopes. Slopes were easier to navigate upwards than stairs for me.

Managed to reach the top in 1hr30mins. Not too sure what's the timing like, hope it isn't that bad.

Sat morning was superb that day. Amazing weather. Nice breeze up there. Quite crowded with people as it was a weekend. 1st time experiencing such a cooling weather at the top.",2026-07
Penang Hill,4,"Visite très agréable avec un bébé de 1 an en porte-bébé de rando.

Funiculaire & Parking : Nous sommes arrivés en voiture à 9h (parking à côté) : zéro attente pour le funiculaire ! Arrivez tôt car les bus de touristes remplissent vite le site. Funiculaire bondé à l'aller, mais très calme au retour.

Activités : Vue un peu bouchée ce jour-là. Nous avons fait The Habitat. Le pont le plus haut a été fermé à cause de l'orage (sécurité au top !), mais la marche sur la canopée était magnifique et presque déserte avec la pluie.

Sur place : De quoi y passer la journée avec plein de sentiers, même si le balisage manque parfois de clarté.

Le + : Très bien équipé pour les familles (toilettes propres avec tables à langer).
Une excellente sortie que je recommande !",2026-07
Penang Hill,5,"Penang Hill is one of those attractions that deserves a place on any Penang itinerary.

The funicular railway makes the journey to the top quick and easy, and the views across George Town, the coastline and Penang Island are spectacular. There is much more to explore at the summit than we expected, with viewing platforms, walking trails, heritage buildings, gardens, cafés and plenty of places to simply stop and enjoy the cooler mountain air.

We particularly enjoyed taking our time to walk around and explore rather than treating it as a quick trip for the view. The cooler temperature was also a welcome break from Penang’s heat and humidity.

It can become busy, particularly around the funicular railway, so arriving earlier in the day may help avoid some of the crowds. Allow at least a few hours if you want to properly experience the area rather than simply travel up, take photos and return.

A memorable Penang experience with incredible views and something for visitors of all ages. Well worth the trip.

Instagram: @gandts_world",2026-07
Penang Hill,5,wonderfull views for relaxing,2026-07
Penang Hill,5,Most Beautiful place in Penang . Many times I visit this hill. 💕,2026-07
Penang Hill,5,"山顶风景绝美 每次来都有不一样的感觉
一直在更新设施 拍照景点👍🏻
可以体验坐游园车，司机会沿途介绍当地房子，还会帮忙拍照
而且司机会一些中文 谈话相当风趣幽默",2026-07
Penang Hill,5,"Amazing views up, on, and back down the hill.  Highly recommend going at least once.  Definitely buy the express ticket if you dislike waiting in lines.",2026-07
Penang Hill,5,"Something else from different view in Penang. Good tourist spot. Food and drinks available at the top and lower part of the hill. Breathtaking view and cooling weather temperature top of the hill. Day time, sunset and night view. Rising roughly 800 meters above sea level, it offers a cooler climate and panoramic views of the island and the mainland. It features a historic funicular railway and The Habitat, an eco-tourism park with a canopy walk through a 130-million-year-old rainforest.",2026-07
Penang Hill,1,It's amazing place of Malaysia,2026-07
Penang Hill,1,"Toeristtrap waarbij o.a. Zuid-Amerikaanse capibara’s en ara’s, leguaan en slangen worden mishandeld en misbruikt op hetzelfde terrein waar The Habitat group zich inzet voor het behoud en herstel van biodiversiteit ten behoeve van toekomstige generaties! Onbegrijpelijk hoe PHC hier niet op ingrijpt!",2026-07
Penang Hill,5,"Hike Too ez , cendol nice",2026-07
Penang Hill,3,没吸引力,2026-07
Penang Hill,5,Penang hill was really a awesome place to visit with kids and family,2026-07
Penang Hill,4,"I  had a nice afternoon at Penang Hill. It’s cool to take the train up the mountain. There are a couple of things to see at the top, along with a small food court.

If you wanna do some hiking, good luck! There are almost no signs, and most of the ones you do find aren’t written in English. I was looking for the Tiger Trail, but somehow ended up in a restricted military area with a sign saying that if I continued, they would shoot me… lol. There was also no phone signal, which made it even harder.

The highlight was, without a doubt, walking back down the mountain. The views are amazing, and you can meet some friendly people who live up there. Enjoy!",2026-07
Penang Hill,2,"Today was totally crowded, waiting for buying tickets took around 40min and que for rail took 70 min for one way only. Then when down from there hill took another 40-60min.

We tamook normal ticket which cause RM12 with myKad. So recommend to take the RM40 express ticket to advoid waiting around 2 hours and more.",2026-06
Penang Hill,2,"No se debería permitir bajar a pie por la carretera que va a través de la jungla. Fuimos perseguidos por una manada de más de 50 monos salvajes. No llegaron a atacarnos, porque un camión que bajaba nos rescató y llevó hasta la salida",2026-06
Penang Hill,5,"Lovely view to visit, place so calm and many place to visit such as the habitat😍",2026-06
Penang Hill,5,This place was so good  view,2026-06
Penang Hill,2,"This place was closed for annual maintenance when we went, but no one told us. So, we paid to ride up to the top and everything was closed. The temple was cool though. It’s probably awesome",2026-06
Penang Hill,5,Top place to visit when in Penang,2026-06
Penang Hill,3,"Beau spot pour voir la ville de haut. Le mieux est de prendre un billet aller jusqu'en haut puis de descendre au milieu de la jungle a pied. Le chemin est balisé. Prévoir un répulsif anti-moustiques pour le chemin du retour.
Toutes attractions en haut sont payantes. C'est très touristique donc on aime ou bien on aime pas. Personnellement ça casse un peu le charme de l'endroit. Donc le mieux monter avec le funiculaire et descendre à pieds cela vaudra le coup.",2026-06
Penang Hill,5,Recommend to visit,2026-06
Penang Hill,5,the view is very beautiful and very relaxing to have a holiday to a place like this 😍🥺🫶,2026-06
Penang Hill,5,Penang Hill atau bukit bendera di malaysia sangat cantik dan menarik untuk di kunjungi memperlihatkan panorama indah dan melihat pemandangan kota malaysia dari atas bukit dengan udara yang sejuk sangat recomended 👍👌,2026-06
Penang Hill,5,"A must-visit spot in Penang! The funicular train ride to the top is super smooth and exciting. Once you're at the peak, you get a spectacular 360-degree view of the island. The weather up there is beautifully cool and refreshing. It's the perfect place to relax, take photos, and escape the city heat. Don't miss out on The Habitat if you love nature. Highly recommended!",2026-06
Penang Hill,5,"I followed the recommendation to visit Penang Hill late in the evening on a weekday, and I definitely did not regret it. There were no queues, and everything was easy to access without feeling crowded or rushed.

If you are lucky enough to catch the sunset, it is one of the best spots in the city to experience Penang from above as it slowly lights up at night.

Overall visiting in the evening was a great decision. The atmosphere was calm, the views were beautiful, and it felt like the perfect time to enjoy Penang Hill without the crowds.",2026-06
Penang Hill,5,"tempat cantik dapat tengok dari dua waktu.. siang dan juga malam.. naik dalam pukul 6 turun pukul 8.30 mlm ..
dapat tengok pelangi sebab baru lepas hujan dari atas bukit Bendera most beautiful view..",2026-06
Penang Hill,5,bukit bendera bukit yang sangat indah pemandangan,2026-06
Penang Hill,5,"A wonderful escape from the busy city with cool weather and spectacular views of Penang. The funicular train ride is enjoyable, and the peaceful atmosphere makes it a perfect place to relax and appreciate nature.",2026-06
Penang Hill,5,"Visited Penang Hill after 10 years and the transformation is incredible. Everything is much cleaner, more structured, and better developed for visitors. The funicular system feels faster, and the new attractions like The Habitat completely elevate the experience with stunning canopy walks. It’s no longer just a quick viewpoint—it’s a world-class eco-tourism destination. Highly recommend revisiting if you haven’t been in a while!",2026-06
Penang Hill,5,"Nice view,kids also enjoying",2026-06
Penang Hill,5,Udara segar dan menyamankan … saujana mata memandang,2026-06
Penang Hill,5,Very peaceful. Suitable for me time session,2026-06
Penang Hill,5,"Bagussss bangett, rekomendasi liburan disini 🤩🤩🤩",2026-06
Penang Hill,5,"A refreshing escape from the city with cooler air and beautiful views over Penang. The funicular ride up adds to the experience, and there are plenty of spots to walk around and relax at the top. It can get busy, but the atmosphere and scenery make it worth the trip.",2026-06
Penang Hill,3,"I visited Penang Hill in the evening and it was one of the highlights of my trip to Penang. The journey up the hill by train was smooth, enjoyable, and added to the overall experience. As the train climbed higher, the temperature became noticeably cooler, providing a refreshing escape from the warm and humid weather that Penang is known for.

The atmosphere at the top was peaceful and relaxing. The cool breeze made it comfortable to walk around and enjoy the surroundings, especially after sunset. One of the best parts of the visit was the spectacular night view overlooking Penang Island. Seeing the city lights spread across the landscape was truly beautiful and made the trip worthwhile. There are several viewing areas, cafés, and attractions that allow visitors to spend a pleasant few hours exploring the hill.

The natural environment is also impressive, with plenty of greenery and fresh air. It is easy to understand why Penang Hill remains one of the most popular tourist attractions in Malaysia for both locals and international visitors.

However, there is one area that needs improvement. I was disappointed by the condition of the public toilets. Unfortunately, it was not just one restroom that was affected; I found several toilets that were not clean and did not meet the standard I would expect from such a famous tourist destination. Better maintenance and more frequent cleaning would greatly improve the visitor experience.

Despite this issue, I still enjoyed my visit very much. The cool weather, beautiful scenery, and stunning panoramic views of Penang make Penang Hill a place that I would recommend to anyone visiting the island. With improved restroom maintenance, the experience would be even better and more enjoyable for all visitors.",2026-06
Penang Hill,5,"A fantastic place to visit in Penang! The funicular train ride up Penang Hill is smooth and offers beautiful views along the way. At the top, the weather is cooler and the scenery is breathtaking, with panoramic views of George Town and the coastline. There are plenty of attractions, food options, and walking trails to explore. The atmosphere is relaxing and family-friendly. Highly recommended for both locals and tourists looking for a refreshing escape from the city.",2026-06
Penang Hill,5,"""The best spot to get a panoramic view of Penang island. Riding the funicular train up was a great experience. The air is cool and refreshing, with plenty of beautiful photo spots.""",2026-06
