marine_park,month,visitors,sst_celsius,turbidity_index,sst_anomaly,visitor_norm,sst_anomaly_norm,turbidity_norm,env_review_sentiment,neg_review_norm,risk_score,risk_tier
Pulau Perhentian,2026-01,1,27.81,1047.4614,-1.868000000000002,0.0,0.0,0.1467159224315873,0.0,-0.0,2.200738836473809,Low
Pulau Perhentian,2026-02,13,28.04,985.21585,-1.6380000000000017,0.09375,0.0,0.1371535084255345,0.8658,0.0,5.3385526263830165,Low
Pulau Perhentian,2026-03,17,29.19,922.9703,-0.4879999999999995,0.125,0.0,0.1275910944194816,0.9788,0.0,6.288866416292224,Low
Pulau Perhentian,2026-04,14,29.98,1267.0254,0.3019999999999996,0.1015625,0.1898840296213495,0.180446235182057,0.90295,0.0,12.907322064478087,Low
Pulau Perhentian,2026-05,21,30.86,1112.927,1.1819999999999986,0.15625,0.7431884867961431,0.1567730135867728,0.0,-0.0,33.8319422416666,Medium
Pulau Perhentian,2026-06,29,30.72,457.3338,1.041999999999998,0.21875,0.6551627777001527,0.05605812556742,0.8166333333333333,0.0,31.427819103016645,Low
Pulau Perhentian,2026-07,18,30.61,514.7988,0.9319999999999986,0.1328125,0.5859997205533038,0.0648861320812645,0.9619,0.0,26.1317197005846,Low
Pulau Perhentian,2026-08,25,30.61,1150.7734,0.9319999999999986,0.1875,0.5859997205533038,0.1625871311492119,0.9653,0.0,29.51129718660381,Low
Pulau Perhentian,2026-09,5,30.58,1150.7734,0.9019999999999976,0.03125,0.5671370686041625,0.1625871311492119,0.0,-0.0,23.38235436838386,Low
Pulau Redang,2025-06,10,30.05,310.4187,0.5615555555555574,0.0703125,0.3530808998183609,0.0334884316705766,0.9884,0.0,15.321095468701278,Low
Pulau Redang,2025-07,11,30.05,479.1602,0.5615555555555574,0.078125,0.3530808998183609,0.0594111857148798,0.0,-0.0,15.983374279365826,Low
Pulau Redang,2025-08,32,30.15,819.5518,0.6615555555555552,0.2421875,0.4159564063154953,0.1117035247396413,0.998,0.0,24.710589592136955,Low
Pulau Redang,2025-09,15,30.02,4591.7168,0.5315555555555562,0.109375,0.3342182478692195,0.6911988208554676,-0.9339,0.9716990947872229,40.469232410063036,Medium
Pulau Redang,2025-10,3,29.69,3405.4519666666665,0.2015555555555579,0.015625,0.1267290764286728,0.508960002865191,0.0,-0.0,12.616792717981411,Low
Pulau Redang,2025-11,4,28.85,2219.1871333333333,-0.6384444444444419,0.0234375,0.0,0.3267211848749146,0.0,-0.0,5.721130273123719,Low
Pulau Redang,2025-12,1,28.08,1032.9223,-1.408444444444445,0.0,0.0,0.1444823668846382,0.0,-0.0,2.167235503269573,Low
Pulau Redang,2026-01,8,27.61,579.4429,-1.878444444444444,0.0546875,0.0,0.0748170210725045,0.0,-0.0,3.0363178160875672,Low
Pulau Redang,2026-02,12,27.63,5377.2334,-1.8584444444444443,0.0859375,0.0,0.8118730688591729,0.0,-0.0,15.185908532887593,Low
Pulau Redang,2026-03,7,28.89,2092.6022,-0.5984444444444428,0.046875,0.0,0.3072746936886059,0.9857,0.0,6.249745405329088,Low
Pulau Redang,2026-04,22,29.81,1028.8183,0.3215555555555554,0.1640625,0.202179684225234,0.1438518937491154,0.0,-0.0,14.976254854119919,Low
Pulau Redang,2026-05,29,30.73,836.4788,1.241555555555557,0.21875,0.7806343439988835,0.1143039191755562,0.959,0.0,36.693010827594264,Medium
Pulau Redang,2026-06,23,30.55,583.8899,1.0615555555555574,0.171875,0.6674584323040395,0.0755001872600459,0.0,-0.0,30.50917293954207,Low
Pulau Redang,2026-07,25,30.36,1679.4685,0.8715555555555561,0.1875,0.5479949699594808,0.2438074180479786,0.0,-0.0,29.399435219301505,Low
Pulau Redang,2026-08,46,30.19,367.9387,0.7015555555555579,0.3515625,0.4411066089143513,0.042324887507631,0.0,-0.0,28.378292124616756,Low
Pulau Redang,2026-09,6,30.08,367.9387,0.591555555555555,0.0390625,0.3719435517675001,0.042324887507631,0.0,-0.0,15.020085124476967,Low
Pulau Sipadan,2023-03,2,28.97,345.2714,-0.5471111111111107,0.0078125,0.0,0.0388426448894936,0.0,-0.0,0.8560771733424039,Low
Pulau Sipadan,2023-04,13,29.81,233.63305000000005,0.2928888888888892,0.09375,0.1841553723627221,0.0216923084935162,0.9707,0.0,10.052072660098014,Low
Pulau Sipadan,2023-05,3,30.07,121.9947,0.5528888888888908,0.015625,0.3476316892552759,0.0045419720975388,0.0,-0.0,12.782113705397737,Low
Pulau Sipadan,2023-06,12,29.6,410.1984,0.0828888888888919,0.0859375,0.0521168087187388,0.0488169941268447,-0.02053333333333332,0.02136440883709637,5.884621849614973,Low
Pulau Sipadan,2023-07,9,29.25,698.4021,-0.2671111111111095,0.0625,0.0,0.0930920161561506,0.6939,0.0,3.5838802423422593,Low
Pulau Sipadan,2023-08,6,29.45,1122.896,-0.0671111111111102,0.0390625,0.0,0.1583044918245961,0.0,-0.0,3.7417548773689413,Low
Pulau Sipadan,2023-09,2,29.4,1055.9203,-0.1171111111111109,0.0078125,0.0,0.1480154129788763,0.5984,0.0,2.493668694683145,Low
Pulau Sipadan,2023-10,5,29.99,630.6088,0.4728888888888889,0.03125,0.2973312840575662,0.0826773342803129,0.0,-0.0,12.740504956219512,Low
Pulau Sipadan,2023-11,6,30.05,465.56835,0.5328888888888912,0.0390625,0.335056587955849,0.0573231505572152,0.9887,0.0,13.954015336812942,Low
Pulau Sipadan,2023-12,8,29.41,300.5279,-0.1071111111111093,0.0546875,0.0,0.0319689668341174,0.0,-0.0,2.3935970025117608,Low
Pulau Sipadan,2024-01,2,29.16,312.8222,-0.3571111111111094,0.0078125,0.0,0.0338576670948527,0.0,-0.0,0.7813025064227905,Low
Pulau Sipadan,2024-02,2,29.15,519.7528,-0.3671111111111109,0.0078125,0.0,0.065647185666396,0.0,-0.0,1.25814528499594,Low
Pulau Sipadan,2024-03,7,29.18,448.4373,-0.3371111111111098,0.046875,0.0,0.0546914091321913,0.0,-0.0,2.4609961369828692,Low
Pulau Sipadan,2024-04,3,29.92,330.6118,0.4028888888888922,0.015625,0.2533184295095732,0.0365905776435117,0.9747,0.0,9.961878697487734,Low
Pulau Sipadan,2024-05,1,30.52,621.6421,1.00288888888889,0.0,0.6305714684923861,0.0812998334361872,0.0,-0.0,23.28949889877632,Low
Pulau Sipadan,2024-06,5,29.97,496.58255,0.4528888888888893,0.03125,0.2847561827581393,0.0620876778281048,-0.9611,1.0,26.991531563956446,Low
Pulau Sipadan,2024-07,3,29.57,371.523,0.0528888888888907,0.015625,0.0332541567695973,0.0428755222200225,0.0,-0.0,2.353903320236243,Low
Pulau Sipadan,2024-08,7,29.72,392.4482,0.2028888888888893,0.046875,0.1275674165153,0.0460901363660852,0.0,-0.0,6.796836623526777,Low
Pulau Sipadan,2024-09,3,29.62,413.3734,0.1028888888888914,0.015625,0.0646919100181657,0.049304750512148,0.0,-0.0,3.5506631083180187,Low
Pulau Sipadan,2024-10,4,29.73,358.7027,0.2128888888888909,0.0234375,0.1338549671650146,0.040906015704588,0.0,-0.0,6.118826586344331,Low
Pulau Sipadan,2024-11,3,30.03,574.7241,0.5128888888888916,0.015625,0.3224814866564222,0.0740920998659,0.9904,0.0,12.945108530963276,Low
Pulau Sipadan,2024-12,1,29.63,333.57665,0.1128888888888894,0.0,0.070979460667878,0.03704604993295,0.0,-0.0,3.03997187236998,Low
Pulau Sipadan,2025-01,3,29.16,92.4292,-0.3571111111111094,0.015625,0.0,0.0,0.8139,0.0,0.546875,Low
Pulau Sipadan,2025-02,2,29.13,144.750475,-0.3871111111111105,0.0078125,0.0,0.0080378066042398,0.0,-0.0,0.39400459906359697,Low
Pulau Sipadan,2025-03,7,29.11,197.07175,-0.4071111111111101,0.046875,0.0,0.0160756132084797,0.0,-0.0,1.8817591981271955,Low
Pulau Sipadan,2025-04,2,29.77,249.393025,0.25288888888889,0.0078125,0.1590051697638683,0.0241134198127196,0.0,-0.0,6.200319738926184,Low
Pulau Sipadan,2025-05,6,30.13,301.7143,0.6128888888888895,0.0390625,0.3853569931535565,0.0321512264169595,0.0,-0.0,15.33695065662887,Low
Pulau Sipadan,2025-06,5,29.66,430.8813,0.1428888888888906,0.03125,0.0898421126170194,0.051994385163566,0.0,-0.0,5.018139719049168,Low
Pulau Sipadan,2025-07,5,29.56,262.3629,0.0428888888888892,0.03125,0.0269666061198828,0.0261059046466838,0.26536666666666664,0.0,2.4291697838961546,Low
Pulau Sipadan,2025-08,6,29.46,232.09063333333336,-0.0571111111111086,0.0390625,0.0,0.0214553561854957,0.0,-0.0,1.6890178427824354,Low
Pulau Sipadan,2025-09,7,29.53,201.81836666666663,0.0128888888888916,0.046875,0.0081039541707436,0.0168048077243077,0.0,-0.0,2.1763355118406413,Low
Pulau Sipadan,2025-10,5,29.75,171.5461,0.2328888888888904,0.03125,0.1464300684644414,0.0121542592631197,0.0,-0.0,6.401116285202245,Low
Pulau Sipadan,2025-11,7,29.53,733.7911,0.0128888888888916,0.046875,0.0081039541707436,0.0985286179575678,0.0,-0.0,3.402192665339543,Low
Pulau Sipadan,2025-12,4,29.3,521.58785,-0.2171111111111088,0.0234375,0.0,0.0659290934946955,0.0,-0.0,1.8092489024204323,Low
Pulau Sipadan,2026-01,4,28.84,309.3846,-0.6771111111111097,0.0234375,0.0,0.0333295690318232,0.9996,0.0,1.3202560354773478,Low
Pulau Sipadan,2026-02,2,28.62,383.6387333333333,-0.8971111111111085,0.0078125,0.0,0.0447367903447361,0.0,-0.0,0.9444893551710415,Low
Pulau Sipadan,2026-03,3,28.8,457.8928666666667,-0.7171111111111088,0.015625,0.0,0.056144011657649,0.0,-0.0,1.389035174864735,Low
Pulau Sipadan,2026-04,3,29.78,532.147,0.2628888888888916,0.015625,0.1652927204135829,0.0675512329705619,0.9601,0.0,7.345388709033829,Low
Pulau Sipadan,2026-05,6,30.4,442.12695,0.8828888888888891,0.0390625,0.5551208606958227,0.0537219875554988,-0.16774999999999998,0.1745395900530642,24.220341288482235,Low
Pulau Sipadan,2026-06,3,29.61,352.1069,0.0928888888888899,0.015625,0.0584043593684511,0.0398927421404357,0.0,-0.0,3.189418710002324,Low
Pulau Sipadan,2026-07,3,29.56,405.5689,0.0428888888888892,0.015625,0.0269666061198828,0.048105791548652,0.0,-0.0,2.2122930874256777,Low
Pulau Sipadan,2026-08,7,29.45,1182.5577,-0.0671111111111102,0.046875,0.0,0.1674699643074471,0.991,0.0,4.152674464611706,Low
Pulau Sipadan,2026-09,3,29.25,1055.3095,-0.2671111111111095,0.015625,0.0,0.147921579404028,0.0,-0.0,2.76569869106042,Low
Pulau Tioman,2026-03,19,28.54,2660.9245,-0.5295555555555573,0.140625,0.0,0.394582671872945,0.9899,0.0,10.840615078094174,Low
Pulau Tioman,2026-04,48,29.72,6601.8263,0.6504444444444424,0.3671875,0.4089702389269236,1.0,0.98675,0.0,42.16552086244233,Medium
Pulau Tioman,2026-05,33,30.66,1247.8067,1.5904444444444437,0.25,1.0,0.1774937804915911,0.9711,0.0,46.41240670737387,Medium
Pulau Tioman,2026-06,32,29.53,2789.488,0.4604444444444446,0.2421875,0.2895067765823672,0.4143331185003293,0.0,-0.0,24.82429645788779,Low
Pulau Tioman,2026-07,34,29.43,2790.2402,0.3604444444444432,0.2578125,0.2266312700852306,0.4144486745170301,0.9897,0.0,23.17226207073852,Low
Pulau Tioman,2026-08,59,29.22,597.497,0.1504444444444423,0.453125,0.094592706441245,0.0775905651846005,-0.01982500000000001,0.020627406097180324,20.643389294670285,Low
Pulau Tioman,2026-09,16,29.26,4648.9238,0.190444444444445,0.1171875,0.119742909040101,0.6999871923622543,0.9988,0.0,18.79237220183735,Low
